Quarter,Average_Interest_Rate
Q1 2016,0.5
Q2 2016,0.5
Q3 2016,0.3424
Q4 2016,0.25
Q1 2017,0.25
Q2 2017,0.25
Q3 2017,0.25
Q4 2017,0.413
Q1 2018,0.5
Q2 2018,0.5
Q3 2018,0.663
Q4 2018,0.75
Q1 2019,0.75
Q2 2019,0.75
Q3 2019,0.75
Q4 2019,0.75
Q1 2020,0.6132
Q2 2020,0.1
Q3 2020,0.1
Q4 2020,0.1
Q1 2021,0.1
Q2 2021,0.1
Q3 2021,0.1
Q4 2021,0.1261
Q1 2022,0.45
Q2 2022,0.9478
Q3 2022,1.6141
Q4 2022,2.8234
Q1 2023,3.8472
Q2 2023,4.4396
Q3 2023,5.1603
Q4 2023,5.25
Q1 2024,5.25
Q2 2024,5.25
Q3 2024,5.0842
Q4 2024,4.8505
Q1 2025,4.6
Q2 2025,4.3516
Q3 2025,4.25
Q4 2025,4.25
