year_int,quarter_num,Quarter,Sector,Location,Insolvency_Count,time_index,lag_1,lag_2,rolling_avg_4,Sector_code,Location_code,Risk_level,Average_Interest_Rate,Energy_Price_Index,Regional_GDP
2016,3,Q3 2016,Accommodation & Food,England/Wales,377,2016.5,352.0,377.0,364.5,0,0,2,0.3424,37.11,1784443.0
2016,4,Q4 2016,Accommodation & Food,England/Wales,424,2016.75,377.0,352.0,368.6666666666667,0,0,2,0.25,39.13,1784443.0
2017,1,Q1 2017,Accommodation & Food,England/Wales,491,2017.0,424.0,377.0,382.5,0,0,2,0.25,39.57,1861953.0
2017,2,Q2 2017,Accommodation & Food,England/Wales,381,2017.25,491.0,424.0,411.0,0,0,2,0.25,38.3,1861953.0
2017,3,Q3 2017,Accommodation & Food,England/Wales,420,2017.5,381.0,491.0,418.25,0,0,2,0.25,38.64,1861953.0
2017,4,Q4 2017,Accommodation & Food,England/Wales,406,2017.75,420.0,381.0,429.0,0,0,2,0.413,41.23,1861953.0
2018,1,Q1 2018,Accommodation & Food,England/Wales,522,2018.0,406.0,420.0,424.5,0,0,2,0.5,41.62,1922054.0
2018,2,Q2 2018,Accommodation & Food,England/Wales,514,2018.25,522.0,406.0,432.25,0,0,2,0.5,40.89,1922054.0
2018,3,Q3 2018,Accommodation & Food,England/Wales,534,2018.5,514.0,522.0,465.5,0,0,2,0.663,42.33,1922054.0
2018,4,Q4 2018,Accommodation & Food,England/Wales,514,2018.75,534.0,514.0,494.0,0,0,2,0.75,45.37,1922054.0
2019,1,Q1 2019,Accommodation & Food,England/Wales,600,2019.0,514.0,534.0,521.0,0,0,2,0.75,46.57,1996347.0
2019,2,Q2 2019,Accommodation & Food,England/Wales,601,2019.25,600.0,514.0,540.5,0,0,2,0.75,45.14,1996347.0
2019,3,Q3 2019,Accommodation & Food,England/Wales,580,2019.5,601.0,600.0,562.25,0,0,2,0.75,44.6,1996347.0
2019,4,Q4 2019,Accommodation & Food,England/Wales,542,2019.75,580.0,601.0,573.75,0,0,2,0.75,47.61,1996347.0
2020,1,Q1 2020,Accommodation & Food,England/Wales,594,2020.0,542.0,580.0,580.75,0,0,2,0.6132,46.94,1885198.0
2020,2,Q2 2020,Accommodation & Food,England/Wales,318,2020.25,594.0,542.0,579.25,0,0,2,0.1,43.8,1885198.0
2020,3,Q3 2020,Accommodation & Food,England/Wales,356,2020.5,318.0,594.0,508.5,0,0,2,0.1,44.5,1885198.0
2020,4,Q4 2020,Accommodation & Food,England/Wales,447,2020.75,356.0,318.0,452.5,0,0,2,0.1,48.19,1885198.0
2021,1,Q1 2021,Accommodation & Food,England/Wales,296,2021.0,447.0,356.0,428.75,0,0,2,0.1,49.59,2042011.0
2021,2,Q2 2021,Accommodation & Food,England/Wales,384,2021.25,296.0,447.0,354.25,0,0,2,0.1,49.05,2042011.0
2021,3,Q3 2021,Accommodation & Food,England/Wales,454,2021.5,384.0,296.0,370.75,0,0,2,0.1,53.66,2042011.0
2021,4,Q4 2021,Accommodation & Food,England/Wales,542,2021.75,454.0,384.0,395.25,0,0,2,0.1261,60.97,2042011.0
2022,1,Q1 2022,Accommodation & Food,England/Wales,600,2022.0,542.0,454.0,419.0,0,0,2,0.45,66.09,2243340.0
2022,2,Q2 2022,Accommodation & Food,England/Wales,613,2022.25,600.0,542.0,495.0,0,0,2,0.9478,78.64,2243340.0
2022,3,Q3 2022,Accommodation & Food,England/Wales,723,2022.5,613.0,600.0,552.25,0,0,2,1.6141,86.09,2243340.0
2022,4,Q4 2022,Accommodation & Food,England/Wales,775,2022.75,723.0,613.0,619.5,0,0,2,2.8234,101.86,2243340.0
2023,1,Q1 2023,Accommodation & Food,England/Wales,851,2023.0,775.0,723.0,677.75,0,0,2,3.8472,105.67,2422397.0
2023,2,Q2 2023,Accommodation & Food,England/Wales,925,2023.25,851.0,775.0,740.5,0,0,2,4.4396,111.39,2422397.0
2023,3,Q3 2023,Accommodation & Food,England/Wales,940,2023.5,925.0,851.0,818.5,0,0,2,5.1603,108.35,2422397.0
2023,4,Q4 2023,Accommodation & Food,England/Wales,1022,2023.75,940.0,925.0,872.75,0,0,2,5.25,108.98,2422397.0
2024,1,Q1 2024,Accommodation & Food,England/Wales,884,2024.0,1022.0,940.0,934.5,0,0,2,5.25,112.39,1861953.0
2024,2,Q2 2024,Accommodation & Food,England/Wales,921,2024.25,884.0,1022.0,942.75,0,0,2,5.25,100.2,1861953.0
2024,3,Q3 2024,Accommodation & Food,England/Wales,855,2024.5,921.0,884.0,941.75,0,0,2,5.0842,100.64,1861953.0
2024,4,Q4 2024,Accommodation & Food,England/Wales,805,2024.75,855.0,921.0,920.5,0,0,2,4.8505,104.57,1861953.0
2025,1,Q1 2025,Accommodation & Food,England/Wales,827,2025.0,805.0,855.0,866.25,0,0,2,4.6,105.14,1861953.0
